full_sample_id,timepoint,date,species,month,site,file.name,series,histo company,scale,units,sex,stage,length,width,total gametes,Notes,
AST-1237-TP0,TP0,,Astrangia poculata,,,,,,,,,,,,,,
AST-2024-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,AST-2024-TP0.vsi,14,PP,3.6547,microns,female,1,16.474,8.963,50,,
AST-2024-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,AST-2024-TP0.vsi,14,PP,3.6547,microns,female,1,10.952,7.182,50,,
AST-2024-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,AST-2024-TP0.vsi,14,PP,3.6547,microns,female,1,7.897,5.045,50,,
AST-2024-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,AST-2024-TP0.vsi,14,PP,3.6547,microns,female,2,22.853,15.449,50,,
AST-2024-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,AST-2024-TP0.vsi,14,PP,3.6547,microns,female,2,20.926,15.178,50,,
AST-2024-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,AST-2024-TP0.vsi,14,PP,3.6547,microns,female,2,34.142,19.868,50,,
AST-2024-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,AST-2024-TP0.vsi,14,PP,3.6547,microns,female,3,47.491,28.15,50,,
AST-2024-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,AST-2024-TP0.vsi,14,PP,3.6547,microns,female,3,42.811,33.685,50,,
AST-2024-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,AST-2024-TP0.vsi,14,PP,3.6547,microns,female,3,37.437,30.271,50,,
AST-1479-TP0,TP0,2/25/21,Astrangia poculata,Feburary,FW,AST-1479-TP0.vsi,14,PP,3.6547,microns,female,1,12.145,8.135,50,"NOT in jill experimental design notebook, Must be AST-1479, previous name was AST-1476-TP0",
AST-1479-TP0,TP0,2/25/21,Astrangia poculata,Feburary,FW,AST-1479-TP0.vsi,14,PP,3.6547,microns,female,1,7.935,7.119,50,,
AST-1479-TP0,TP0,2/25/21,Astrangia poculata,Feburary,FW,AST-1479-TP0.vsi,14,PP,3.6547,microns,female,1,17.333,9.557,50,,
AST-1479-TP0,TP0,2/25/21,Astrangia poculata,Feburary,FW,AST-1479-TP0.vsi,14,PP,3.6547,microns,female,2,32.274,16.013,50,,
AST-1479-TP0,TP0,2/25/21,Astrangia poculata,Feburary,FW,AST-1479-TP0.vsi,14,PP,3.6547,microns,female,2,28.938,18.449,50,,
AST-1479-TP0,TP0,2/25/21,Astrangia poculata,Feburary,FW,AST-1479-TP0.vsi,14,PP,3.6547,microns,female,2,30.144,16.208,50,,
AST-2751-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,AST-2751-TP0.vsi,14,PP,3.6547,microns,female,1,17.316,13.954,24,,
AST-2751-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,AST-2751-TP0.vsi,14,PP,3.6547,microns,female,1,13.76,10.703,24,,
AST-2751-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,AST-2751-TP0.vsi,14,PP,3.6547,microns,female,1,15.422,11.839,24,,
AST-2751-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,AST-2751-TP0.vsi,14,PP,3.6547,microns,female,2,51.524,28.054,24,,
AST-2751-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,AST-2751-TP0.vsi,14,PP,3.6547,microns,female,2,35.449,21.024,24,,
AST-2751-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,AST-2751-TP0.vsi,14,PP,3.6547,microns,female,2,38.893,21.024,24,,
AST-2751-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,AST-2751-TP0.vsi,14,PP,3.6547,microns,female,3,61.761,54.511,24,,
AST-2004-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,AST-2001-TP0.vsi,14,PP,3.6547,microns,NA,0,0,0,0,Mislabelled,
AST-2305-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,AST-2305-TP0.vsi,14,PP,3.6547,microns,female,1,16.52,7.034,50,,
AST-2305-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,AST-2305-TP0.vsi,14,PP,3.6547,microns,female,1,13.815,10.303,50,,
AST-2305-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,AST-2305-TP0.vsi,14,PP,3.6547,microns,female,1,15.599,12.252,50,,
AST-2305-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,AST-2305-TP0.vsi,14,PP,3.6547,microns,female,2,29.743,26.699,50,,
AST-2305-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,AST-2305-TP0.vsi,14,PP,3.6547,microns,female,2,46.665,31.418,50,,
AST-2305-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,AST-2305-TP0.vsi,14,PP,3.6547,microns,female,2,45.945,28.553,50,,
AST-2868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AST-1069-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,Image_01.vsi,14,PP,3.6547,microns,NA,,,,,,
AST-1042-TP2,TP2,4/2/21,Astrangia poculata,April,,AST-1642-TP2.vsi,14,PP,3.6547,microns,NA,NA,0,0,0,,
AST-1461-TP2,TP2,4/2/21,Astrangia poculata,April,FW,AST-1461-TP2.vsi,14,PP,3.6547,microns,male,1,20.687,17.622,17,,
AST-1461-TP2,TP2,4/2/21,Astrangia poculata,April,FW,AST-1461-TP2.vsi,14,PP,3.6547,microns,male,1,26.719,15.68,17,,
AST-1461-TP2,TP2,4/2/21,Astrangia poculata,April,FW,AST-1461-TP2.vsi,14,PP,3.6547,microns,male,1,24.626,16.169,17,,
AST-1533-TP2,TP2,4/2/21,Astrangia poculata,April,,AST-1533-TP2.vsi,14,PP,3.6547,microns,male,1,22.026,13.681,50,,
AST-1533-TP2,TP2,4/2/21,Astrangia poculata,April,,AST-1533-TP2.vsi,14,PP,3.6547,microns,male,1,18.191,15.42,50,,
AST-1533-TP2,TP2,4/2/21,Astrangia poculata,April,,AST-1533-TP2.vsi,14,PP,3.6547,microns,male,1,16.426,11.081,50,,
AST-1533-TP2,TP2,4/2/21,Astrangia poculata,April,,AST-1533-TP2.vsi,14,PP,3.6547,microns,male,2,28.447,21.339,50,,
AST-1533-TP2,TP2,4/2/21,Astrangia poculata,April,,AST-1533-TP2.vsi,14,PP,3.6547,microns,male,2,28.567,24.218,50,,
AST-1533-TP2,TP2,4/2/21,Astrangia poculata,April,,AST-1533-TP2.vsi,14,PP,3.6547,microns,male,2,27.287,24.953,50,,
AST-2979-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_2979_2.vsi,20,NOVA,3.6547,microns,NA,0,0,0,0,,
AST-1085-TP2,TP2,4/2/21,Astrangia poculata,April,FW,AST-1085-TP2.vsi14,,PP,3.6547,microns,female,1,12.728,10.046,50,,
AST-1085-TP2,TP2,4/2/21,Astrangia poculata,April,FW,AST-1085-TP2.vsi14,,PP,3.6547,microns,female,1,11.505,9.303,50,,
AST-1085-TP2,TP2,4/2/21,Astrangia poculata,April,FW,AST-1085-TP2.vsi14,,PP,3.6547,microns,female,1,11.544,11.08,50,,
AST-1576-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_1576_1.vsi,20,NOVA,3.6547,microns,NA,0,0,0,0,,
AST-2202-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_2202.vsi,14,NOVA,7.3049,microns,male,1,12.454,7.553,6,,
AST-2202-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_2202.vsi,14,NOVA,7.3049,microns,male,1,11.515,8.355,6,,
AST-2202-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_2202.vsi,14,NOVA,7.3049,microns,male,1,13.67,9.722,6,,
AST-2757-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_2757_1.vsi,14,NOVA,3.6547,microns,female,2,33.594,17.047,50,,
AST-2757-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_2757_1.vsi,14,NOVA,3.6547,microns,female,2,39.44,28.478,50,,
AST-2757-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_2757_1.vsi,14,NOVA,3.6547,microns,female,2,34.536,28.473,50,,
AST-2757-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_2757_1.vsi,14,NOVA,3.6547,microns,female,3,67.785,55.197,50,,
AST-2757-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_2757_1.vsi,14,NOVA,3.6547,microns,female,3,75.353,46.046,50,,
AST-2757-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_2757_1.vsi,14,NOVA,3.6547,microns,female,3,66.67,58.711,50,,
AST-1311-TP2,TP2,4/2/21,Astrangia poculata,April,FW,AST-1311-TP2.vsi,14,PP,3.6547,microns,female,1,11.03,7.84,50,,
AST-1311-TP2,TP2,4/2/21,Astrangia poculata,April,FW,AST-1311-TP2.vsi,14,PP,3.6547,microns,female,1,13.632,9.85,50,,
AST-1311-TP2,TP2,4/2/21,Astrangia poculata,April,FW,AST-1311-TP2.vsi,14,PP,3.6547,microns,female,1,9.307,8.213,50,,
AST-1311-TP2,TP2,4/2/21,Astrangia poculata,April,FW,AST-1311-TP2.vsi,14,PP,3.6547,microns,female,2,27.087,15.49,50,,
AST-1311-TP2,TP2,4/2/21,Astrangia poculata,April,FW,AST-1311-TP2.vsi,14,PP,3.6547,microns,female,2,36.383,23.987,50,,
AST-1311-TP2,TP2,4/2/21,Astrangia poculata,April,FW,AST-1311-TP2.vsi,14,PP,3.6547,microns,female,2,31.722,18.289,50,,
AST-1053-TP2,TP2,4/2/21,Astrangia poculata,April,FW,AST-1053-TP2.vsi,14,PP,3.6547,microns,female,1,18.718,16.325,50,,
AST-1053-TP2,TP2,4/2/21,Astrangia poculata,April,FW,AST-1053-TP2.vsi,14,PP,3.6547,microns,female,1,18.83,12.297,50,,
AST-1053-TP2,TP2,4/2/21,Astrangia poculata,April,FW,AST-1053-TP2.vsi,14,PP,3.6547,microns,female,1,14.735,11.08,50,,
AST-1053-TP2,TP2,4/2/21,Astrangia poculata,April,FW,AST-1053-TP2.vsi,14,PP,3.6547,microns,female,2,41.43,24.159,50,,
AST-1053-TP2,TP2,4/2/21,Astrangia poculata,April,FW,AST-1053-TP2.vsi,14,PP,3.6547,microns,female,2,47.074,25.72,50,,
AST-1053-TP2,TP2,4/2/21,Astrangia poculata,April,FW,AST-1053-TP2.vsi,14,PP,3.6547,microns,female,2,41.765,29.009,50,,
AST-1489-TP2,TP2,4/2/21,Astrangia poculata,April,,AST-1489-TP2.vsi,14,PP,3.6547,microns,male,1,28.791,14.489,36,In Jill's notebook and slide data,
AST-1489-TP2,TP2,4/2/21,Astrangia poculata,April,,AST-1489-TP2.vsi,14,PP,3.6547,microns,male,1,21.251,15.136,36,,
AST-1489-TP2,TP2,4/2/21,Astrangia poculata,April,,AST-1489-TP2.vsi,14,PP,3.6547,microns,male,1,23.01,17.175,36,,
AST-1489-TP2,TP2,4/2/21,Astrangia poculata,April,,AST-1489-TP2.vsi,14,PP,3.6547,microns,male,2,40.381,33.089,36,,
AST-1489-TP2,TP2,4/2/21,Astrangia poculata,April,,AST-1489-TP2.vsi,14,PP,3.6547,microns,male,2,30.84,28.171,36,,
AST-1489-TP2,TP2,4/2/21,Astrangia poculata,April,,AST-1489-TP2.vsi,14,PP,3.6547,microns,male,2,33.435,25.958,36,,
AST-1225-TP2,TP2,4/2/21,Astrangia poculata,April,FW,AST-1225-TP2.vsi,14,PP,3.6547,microns,male,1,25.657,18.671,50,,
AST-1225-TP2,TP2,4/2/21,Astrangia poculata,April,FW,AST-1225-TP2.vsi,14,PP,3.6547,microns,male,1,28.671,18.736,50,,
AST-1225-TP2,TP2,4/2/21,Astrangia poculata,April,FW,AST-1225-TP2.vsi,14,PP,3.6547,microns,male,1,26.28,19.989,50,,
AST-2399-TP2,TP2,4/2/21,Astrangia poculata,April,,AST-2399-TP2.vsi,14,PP,3.6547,microns,female,1,14.563,9.482,50,,
AST-2399-TP2,TP2,4/2/21,Astrangia poculata,April,,AST-2399-TP2.vsi,14,PP,3.6547,microns,female,1,10.179,7.008,50,,
AST-2399-TP2,TP2,4/2/21,Astrangia poculata,April,,AST-2399-TP2.vsi,14,PP,3.6547,microns,female,1,9.986,6.657,50,,
AST-2399-TP2,TP2,4/2/21,Astrangia poculata,April,,AST-2399-TP2.vsi,14,PP,3.6547,microns,female,2,25.528,14.335,50,,
AST-2399-TP2,TP2,4/2/21,Astrangia poculata,April,,AST-2399-TP2.vsi,14,PP,3.6547,microns,female,2,24.746,12.775,50,,
AST-2399-TP2,TP2,4/2/21,Astrangia poculata,April,,AST-2399-TP2.vsi,14,PP,3.6547,microns,female,2,28.183,17.095,50,,
AST-2399-TP2,TP2,4/2/21,Astrangia poculata,April,,AST-2399-TP2.vsi,14,PP,3.6547,microns,female,3,64.138,36.708,50,,
AST-2399-TP2,TP2,4/2/21,Astrangia poculata,April,,AST-2399-TP2.vsi,14,PP,3.6547,microns,female,3,52.031,31.196,50,,
AST-2399-TP2,TP2,4/2/21,Astrangia poculata,April,,AST-2399-TP2.vsi,14,PP,3.6547,microns,female,3,41.032,21.904,50,,
AST-1197-TP2,TP2,4/2/21,Astrangia poculata,April,,Image_02.vsi,14,PP,3.6547,microns,male,1,23.538,11.641,50,,
AST-1197-TP2,TP2,4/2/21,Astrangia poculata,April,,Image_02.vsi,14,PP,3.6547,microns,male,1,14.125,11.794,50,,
AST-1197-TP2,TP2,4/2/21,Astrangia poculata,April,,Image_02.vsi,14,PP,3.6547,microns,male,1,18.848,10.904,50,,
AST-2384-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_2384_1.vsi,14,NOVA,3.6547,microns,male,1,16.592,8.846,17,,
AST-2384-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_2384_1.vsi,14,NOVA,3.6547,microns,male,1,12.052,12.021,17,,
AST-2384-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_2384_1.vsi,14,NOVA,3.6547,microns,male,1,12.771,9.324,17,,
AST-2384-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_2384_1.vsi,14,NOVA,3.6547,microns,male,2,26.352,9.101,17,,
AST-2384-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_2384_1.vsi,14,NOVA,3.6547,microns,male,2,25.477,19.289,17,,
AST-2384-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_2384_1.vsi,14,NOVA,3.6547,microns,male,2,24.261,18.077,17,,
AST-1448-TP2,TP2,4/2/21,Astrangia poculata,April,FW,A-AST-1448.vsi,14,PP,3.6547,microns,female,1,16.095,8.841,50,Missing AST-1448 from slide data,
AST-1448-TP2,TP2,4/2/21,Astrangia poculata,April,FW,A-AST-1448.vsi,14,PP,3.6547,microns,female,1,14.447,12.491,50,,
AST-1448-TP2,TP2,4/2/21,Astrangia poculata,April,FW,A-AST-1448.vsi,14,PP,3.6547,microns,female,1,12.052,1.838,50,,
AST-1448-TP2,TP2,4/2/21,Astrangia poculata,April,FW,A-AST-1448.vsi,14,PP,3.6547,microns,female,2,32.948,23.578,50,,
AST-1448-TP2,TP2,4/2/21,Astrangia poculata,April,FW,A-AST-1448.vsi,14,PP,3.6547,microns,female,2,26.494,17.175,50,,
AST-1448-TP2,TP2,4/2/21,Astrangia poculata,April,FW,A-AST-1448.vsi,14,PP,3.6547,microns,female,2,30.217,16.16,5+Q105,,
AST-1430-TP4,TP4,5/28/21,Astrangia poculata,May,,A-AST-1430-TP4.vsi,14,PP,3.6547,microns,female,2,49.067,25.774,50,,
AST-1430-TP4,TP4,5/28/21,Astrangia poculata,May,,A-AST-1430-TP4.vsi,14,PP,3.6547,microns,female,2,30.942,24.966,50,,
AST-1430-TP4,TP4,5/28/21,Astrangia poculata,May,,A-AST-1430-TP4.vsi,14,PP,3.6547,microns,female,2,40.523,26.471,50,,
AST-1430-TP4,TP4,5/28/21,Astrangia poculata,May,,A-AST-1430-TP4.vsi,14,PP,3.6547,microns,female,3,75.707,48.616,50,,
AST-1430-TP4,TP4,5/28/21,Astrangia poculata,May,,A-AST-1430-TP4.vsi,14,PP,3.6547,microns,female,3,82.415,60.565,50,,
AST-1430-TP4,TP4,5/28/21,Astrangia poculata,May,,A-AST-1430-TP4.vsi,14,PP,3.6547,microns,female,3,80.95,64.391,50,,
AST-1430-TP4,TP4,5/28/21,Astrangia poculata,May,,A-AST-1430-TP4.vsi,14,PP,3.6547,microns,female,4,96.974,67.473,50,,
AST-1430-TP4,TP4,5/28/21,Astrangia poculata,May,,A-AST-1430-TP4.vsi,14,PP,3.6547,microns,female,4,103.054,61.007,50,,
AST-1430-TP4,TP4,5/28/21,Astrangia poculata,May,,A-AST-1430-TP4.vsi,14,PP,3.6547,microns,female,4,107.967,59.43,50,,
AST-1557-TP4,TP4,5/28/21,Astrangia poculata,May,FW,Image_AST_1557_1.vsi,20,NOVA,3.6547,microns,male,2,31.589,24.518,6,,
AST-1557-TP4,TP4,5/28/21,Astrangia poculata,May,FW,Image_AST_1557_1.vsi,20,NOVA,3.6547,microns,male,2,25.829,16.023,6,,
AST-1557-TP4,TP4,5/28/21,Astrangia poculata,May,FW,Image_AST_1557_1.vsi,20,NOVA,3.6547,microns,male,2,26.671,21.06,6,,
AST-1483-TP4,TP4,5/28/21,Astrangia poculata,May,,AST-1483-TP4.vsi,14,PP,3.6547,microns,male,2,20.688,14.594,50,,
AST-1483-TP4,TP4,5/28/21,Astrangia poculata,May,,AST-1483-TP4.vsi,14,PP,3.6547,microns,male,2,16.528,12.979,50,,
AST-1483-TP4,TP4,5/28/21,Astrangia poculata,May,,AST-1483-TP4.vsi,14,PP,3.6547,microns,male,2,11.534,9.108,50,,
AST-1483-TP4,TP4,5/28/21,Astrangia poculata,May,,AST-1483-TP4.vsi,14,PP,3.6547,microns,male,3,62.687,36.134,50,,
AST-1483-TP4,TP4,5/28/21,Astrangia poculata,May,,AST-1483-TP4.vsi,14,PP,3.6547,microns,male,3,57.736,47.597,50,,
AST-1483-TP4,TP4,5/28/21,Astrangia poculata,May,,AST-1483-TP4.vsi,14,PP,3.6547,microns,male,3,67.664,38.589,50,,
AST-1135-TP4,TP4,5/28/21,Astrangia poculata,May,FW,AST-1135-TP4.vsi,14,PP,3.6547,microns,female,1,13.261,11.433,50,,
AST-1135-TP4,TP4,5/28/21,Astrangia poculata,May,FW,AST-1135-TP4.vsi,14,PP,3.6547,microns,female,1,15.575,14.17,50,,
AST-1135-TP4,TP4,5/28/21,Astrangia poculata,May,FW,AST-1135-TP4.vsi,14,PP,3.6547,microns,female,1,14.775,12.313,50,,
AST-1135-TP4,TP4,5/28/21,Astrangia poculata,May,FW,AST-1135-TP4.vsi,14,PP,3.6547,microns,female,2,32.348,19.769,50,,
AST-1135-TP4,TP4,5/28/21,Astrangia poculata,May,FW,AST-1135-TP4.vsi,14,PP,3.6547,microns,female,2,25.46,16.437,50,,
AST-1135-TP4,TP4,5/28/21,Astrangia poculata,May,FW,AST-1135-TP4.vsi,14,PP,3.6547,microns,female,2,24.965,21.576,50,,
AST-1135-TP4,TP4,5/28/21,Astrangia poculata,May,FW,AST-1135-TP4.vsi,14,PP,3.6547,microns,female,3,75.843,50.079,50,,
AST-1135-TP4,TP4,5/28/21,Astrangia poculata,May,FW,AST-1135-TP4.vsi,14,PP,3.6547,microns,female,3,70.124,30.383,50,,
AST-1135-TP4,TP4,5/28/21,Astrangia poculata,May,FW,AST-1135-TP4.vsi,14,PP,3.6547,microns,female,3,70.08,53.513,50,,
AST-1135-TP4,TP4,5/28/21,Astrangia poculata,May,FW,AST-1135-TP4.vsi,14,PP,3.6547,microns,female,4,97.761,58.695,50,,
AST-1135-TP4,TP4,5/28/21,Astrangia poculata,May,FW,AST-1135-TP4.vsi,14,PP,3.6547,microns,female,4,92.771,49.748,50,,
AST-1135-TP4,TP4,5/28/21,Astrangia poculata,May,FW,AST-1135-TP4.vsi,14,PP,3.6547,microns,female,4,89.69,66.083,50,,
AST-1554-TP4,TP4,5/28/21,Astrangia poculata,May,FW,Image_AST_1537_1.vsi,20,NOVA,3.6547,microns,NA,0,0,0,0,"Previous name was AST-1559-TP4, wasn't scanned",
AST-1440-TP4,TP4,5/28/21,Astrangia poculata,May,FW,Image_AST_1440_2.vsi,20,NOVA,3.6547,microns,NA,0,0,0,0,,
AST-1238-TP4,TP4,5/28/21,Astrangia poculata,May,FW,A-AST-1238-TP4.vsi,14,PP,3.6547,microns,male,2,40.629,22.135,50,,
